"","mean in group 3","mean in group 4","gene_name","p_vals"
"1",9.3885195497832,9.38743449936001,"FBXL5",0.979381872184722
"2",7.27509456572612,7.2766635802878,"GAS2L1",0.975359860188809
"3",8.63987591460128,8.63045765945874,"HIF1A",0.913775230125799
"4",9.30370923159711,9.27613990674517,"ANKRD37",0.710295301470463
"5",8.25313899941906,8.27734158452406,"RSBN1",0.650138268534084
"6",6.81396783755342,6.77399603273687,"WNT4",0.647899897719348
"7",9.32973719085249,9.39838870204709,"IGFBP3",0.451505054796233
"8",7.2300819702741,7.18119738288407,"SDHA",0.442837283724168
"9",8.85341474057095,8.89942388800065,"KLF7",0.375460426491865
"10",4.32617204256677,4.32192809488736,"PLA2G4A",0.328183261880701
"11",5.94484018374848,6.07544557938744,"ALPK3",0.298451164974384
"12",8.91973060983371,8.99443561119264,"CLIC4",0.288440480092468
"13",7.91385978766945,7.97587735283577,"KIFC2",0.249479903367125
"14",4.6166974003486,4.50161053260285,"CYP26B1",0.2130770988858
"15",4.84407221380407,5.07092752972642,"NOXA1",0.210975574512834
"16",10.4673117187028,10.4213979818448,"TCIRG1",0.210909375822021
"17",10.4983647837306,10.5629988325036,"DDIT4",0.183266644699352
"18",10.6762202678436,10.6209509340273,"POLR2A",0.106643911405806
"19",12.2611801191737,12.3688658395453,"PLOD2",0.0966181461123271
"20",8.06166660563464,7.96358009561987,"VPS13B",0.0896141625297771
"21",4.36679005625843,4.32192809488736,"RASAL1",0.0777669256084855
"22",4.41895292089571,4.32192809488736,"CH25H",0.0539504719931014
"23",11.5627067766896,11.6775833155948,"NDRG1",0.0410354230887108
"24",8.59376830463218,8.48224297303479,"PPIL3",0.0335999176417998
"25",11.1810529452943,11.2359547552908,"FCF1",0.0244223671331744
"26",4.83458957145463,5.32698236086856,"PRRT3",0.0238398451927934
"27",5.36853828700744,5.57084979840304,"TRIM2",0.0159128808588167
"28",7.9671645950371,7.6986613870464,"BMP6",0.0130063222318647
"29",4.48229723804685,4.33201030280552,"ADRB1",0.0121922737898014
"30",8.38952928666776,8.21226827689744,"SESTD1",0.00858338087754139
"31",5.74288271437122,6.12655581669193,"CTF1",0.00762171752485033
"32",5.39671676861587,5.72889927735027,"PDZD7",0.00708625651382657
"33",10.5694480742361,10.3626341340707,"IL1R2",0.00675688567460585
"34",9.32468847475204,9.19037653247822,"MTND4",0.00667165376125696
"35",7.06276229151163,6.88758938049939,"CCDC66",0.00647353218273859
"36",8.94856280973407,8.7561617154663,"DYSF",0.00411317240240806
"37",8.08682976886463,8.32899646571201,"RNF223",0.00212389369772358
"38",4.52065245668726,4.35244206148509,"ARMCX4",0.00180567385762078
"39",12.1305729103125,12.6736247774283,"MT1E",0.00150040186271865
"40",4.58341245888496,5.06618112422415,"DMBT1",0.000739647688660838
"41",10.5237199126208,10.2746408263951,"F3",0.000668666831951962
"42",5.2032708939871,4.51136941358877,"KIRREL2",0.0005846971740827
"43",11.6859427116088,11.4616825909809,"ERRFI1",0.000494896392949519
"44",8.77609082840158,8.54570569775129,"KISS1",0.000452745621428935
"45",7.2900135289987,6.88010440974877,"PRDM1",0.000325995492620223
"46",5.51692534156011,5.90035559801805,"IFNL2",0.000220835738656865
"47",6.80004286800416,5.23849023801142,"SPOCD1",0.000178575437775977
"48",9.29417671475877,9.01934490518845,"IRF6",0.000103514946304303
"49",6.1124968457975,6.70146828210819,"ROR2",7.39766933956945e-05
"50",9.16515669126488,8.78083248683217,"TPM4",2.61259904792492e-05
"51",12.1487381285503,11.9998243996117,"TFRC",1.38081770407962e-05
"52",6.75667480319896,6.44539321700633,"PRR22",8.70140804672846e-06
"53",11.4330035618014,11.1658641109667,"MACC1",5.65051273861037e-06
"54",8.52205296270952,8.29803579602063,"BMI1",4.10619715856452e-06
"55",9.29099064694524,9.68343146713136,"NEURL1B",2.14377730699901e-06
"56",8.42432088027221,8.80784601314737,"PRKCA",2.07513316238749e-06
"57",5.96982639698753,5.2446015340408,"FAXDC2",2.06273527692558e-06
"58",9.05423028858395,9.45995103876573,"KDM3A",1.28448532263975e-06
"59",13.0523365223911,13.5491334409062,"SLC2A3",9.50549030574758e-07
"60",9.44867117274183,9.03492807085801,"DUS1L",9.27777558034742e-07
"61",7.4864445276871,8.34916275994214,"SLC1A6",3.37899056094006e-07
"62",8.624134223404,8.24234054187541,"PWP2",2.50508372868475e-07
"63",9.75363816753768,10.0210741822119,"GUSB",2.44357627662989e-07
"64",9.10461305046876,9.6428588516883,"PDK1",1.22004179753432e-07
"65",7.1111060203172,5.68463139354937,"IGFL1",1.12077837402272e-07
"66",7.57002998794759,8.05526653777741,"STC1",7.16780047182585e-08
"67",10.5595433498037,10.9170823053618,"TMEM45A",2.10024340409026e-08
"68",6.05250104895143,6.5370040771231,"CACNG6",1.82713251420647e-08
"69",9.99425595509166,10.5230913115204,"DEPP1",1.51101562830156e-08
"70",11.6335199366649,12.1119346760049,"P4HA1",1.01500457805451e-08
"71",7.50836157145674,8.14126607918855,"NEDD9",7.58272594879639e-09
"72",11.1078220075533,10.3024006358529,"B4GALT4",4.98873515605279e-09
"73",7.47077377187433,6.433843034849,"IFNK",3.96238493151363e-09
"74",12.4517335871288,12.7040132960511,"ERO1A",3.09274171042158e-09
"75",7.26649300786304,6.57649641090065,"POLR1B",1.06848460065269e-09
"76",8.62797412971247,8.15071501688827,"EFNB2",1.0346019293789e-09
"77",10.1730479939098,9.65122632338019,"ITSN2",8.3766750179397e-10
"78",10.1403801940317,9.92219095434909,"ABCF1",4.36415128340725e-10
"79",9.33306852930965,8.97477321207524,"C1orf74",4.32137282816321e-10
"80",6.22197001758725,7.03892158031582,"PLCXD3",3.3930942402655e-10
"81",10.444569188176,9.83430714714587,"SERPINB5",3.31800157916075e-10
"82",8.32455761207831,7.03384654095532,"ANKRD22",2.13390645435738e-10
"83",11.593353798795,12.1610910953897,"LOXL2",1.85890019715913e-11
"84",6.77532298283995,8.12118845313914,"DKK1",1.70851859758533e-11
"85",11.2328801503421,11.8686708427253,"CCNG2",1.07027619389966e-12
"86",11.4926020281428,10.5495520840546,"AKAP12",2.08221514656971e-13
"87",10.4474989237827,9.29355051452086,"CRCT1",1.2607871320534e-13
"88",8.77262515525791,9.7823079063354,"PLAC8",2.73158387283595e-15
"89",10.7040200153115,8.19055055213394,"CEMIP",4.69234717726974e-18
